0.986237590 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.987256393 10.0.0.2:34276 10.0.0.1:5001 32 0xa14060e5 0xa1401d05 13 12 237568 78532 29696
0.992257348 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
0.992331188 10.0.0.2:34276 10.0.0.1:5001 32 0xa1406c35 0xa14022ad 13 12 237568 77690 29696
0.998513487 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.004673928 10.0.0.2:34276 10.0.0.1:5001 32 0xa1407785 0xa1402dfd 13 12 237568 76190 29696
1.010542973 10.0.0.1:5001 10.0.0.2:34276 1480 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.011267643 10.0.0.2:34276 10.0.0.1:5001 32 0xa14082d5 0xa14033a5 14 12 237568 75767 29696
1.016574436 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.017658885 10.0.0.2:34276 10.0.0.1:5001 32 0xa14082d5 0xa140394d 14 12 237568 76222 29696
1.028648062 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.035771899 10.0.0.2:34276 10.0.0.1:5001 32 0xa1409975 0xa1404a45 14 12 237568 75493 29696
1.041869809 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.048889509 10.0.0.2:34276 10.0.0.1:5001 32 0xa140a4c5 0xa1405595 14 12 237568 75161 29696
1.053031308 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.059197485 10.0.0.2:34276 10.0.0.1:5001 32 0xa140b015 0xa14060e5 14 12 237568 74999 29696
1.065029173 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.071344808 10.0.0.2:34276 10.0.0.1:5001 32 0xa140bb65 0xa1406c35 14 12 237568 74626 29696
1.077989981 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.084964051 10.0.0.2:34276 10.0.0.1:5001 32 0xa140c6b5 0xa1407785 14 12 237568 74414 29696
1.089272602 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.095527794 10.0.0.2:34276 10.0.0.1:5001 32 0xa140d205 0xa14082d5 14 12 237568 75160 29696
1.101415875 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.107608755 10.0.0.2:34276 10.0.0.1:5001 32 0xa140dd55 0xa1408e25 14 12 237568 75509 29696
1.114180489 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.121455015 10.0.0.2:34276 10.0.0.1:5001 32 0xa140e8a5 0xa1409975 14 12 237568 76596 29696
1.125586855 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.131736277 10.0.0.2:34276 10.0.0.1:5001 32 0xa140f3f5 0xa140a4c5 14 12 237568 77744 29696
1.137670385 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.143857097 10.0.0.2:34276 10.0.0.1:5001 32 0xa140ff45 0xa140b015 14 12 237568 78392 29696
1.150967612 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.157970637 10.0.0.2:34276 10.0.0.1:5001 32 0xa1410a95 0xa140bb65 14 12 237568 79187 29696
1.161909476 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.168098337 10.0.0.2:34276 10.0.0.1:5001 32 0xa14115e5 0xa140c6b5 14 12 237568 80129 29696
1.173980277 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.180131984 10.0.0.2:34276 10.0.0.1:5001 32 0xa1412135 0xa140d205 14 12 237568 80515 29696
1.186158890 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
